Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
122,0.207715,0.938440,1.010744,0.721500,0.033063,826.1935
123,0.205378,0.939300,1.017552,0.710500,0.032326,825.9992
124,0.202939,0.940900,0.971403,0.725300,0.031594,826.6496
125,0.194022,0.944080,0.980852,0.725600,0.030866,826.4240
126,0.195143,0.942920,0.979422,0.726500,0.030143,825.6004
127,0.181374,0.947580,0.875667,0.745100,0.029424,825.1862
128,0.179202,0.948500,0.901181,0.737000,0.028711,825.6753
129,0.175357,0.949540,0.921697,0.744700,0.028003,898.7049
130,0.176626,0.948460,0.910890,0.741600,0.027300,884.5994
131,0.175585,0.949280,0.928531,0.739900,0.026604,881.4850
132,0.165647,0.953360,0.963984,0.739500,0.025912,882.7127
133,0.158360,0.955660,0.979410,0.730300,0.025227,882.0254
134,0.153664,0.956820,0.848066,0.753800,0.024548,882.4504
135,0.154040,0.956760,0.873404,0.754800,0.023875,882.7218
136,0.149220,0.958260,0.910518,0.739000,0.023209,882.1098
137,0.141736,0.960840,0.913717,0.741400,0.022549,882.2442
138,0.141682,0.960300,0.886818,0.746200,0.021896,882.1938
139,0.138978,0.960920,0.894418,0.746600,0.021250,884.1687
140,0.130710,0.964060,0.852542,0.753500,0.020611,882.8997
141,0.127022,0.965580,0.835419,0.761900,0.019979,881.8152
142,0.129221,0.963600,0.831088,0.761800,0.019355,881.5038
143,0.120885,0.967260,0.881052,0.752000,0.018738,881.8632
144,0.119340,0.967000,0.844660,0.757300,0.018129,881.5336
145,0.113068,0.969600,0.864537,0.763000,0.017528,882.0765
146,0.108098,0.970700,0.817094,0.772900,0.016934,887.1943
147,0.109257,0.970360,0.793564,0.773400,0.016349,896.6184
148,0.103329,0.972480,0.851730,0.761200,0.015773,897.4479
149,0.101921,0.972480,0.813682,0.769000,0.015204,895.3821
150,0.101464,0.973300,0.810992,0.772700,0.014645,878.0627
151,0.093875,0.975160,0.793459,0.774900,0.014094,882.9547
152,0.089878,0.976580,0.813402,0.773400,0.013552,882.5091
153,0.087389,0.977400,0.789202,0.780700,0.013018,882.3798
154,0.082267,0.978380,0.782585,0.783400,0.012494,883.3509
155,0.076003,0.981180,0.763261,0.785400,0.011980,882.8105
156,0.076330,0.980240,0.761257,0.783400,0.011474,883.8107
157,0.071955,0.982100,0.805835,0.776000,0.010978,883.0053
158,0.074226,0.981120,0.757826,0.787800,0.010492,883.9644
159,0.070276,0.982300,0.757653,0.787800,0.010016,882.8029
160,0.066378,0.982940,0.770564,0.785600,0.009549,882.5171
161,0.063776,0.984140,0.748851,0.793300,0.009093,881.1113
162,0.057306,0.986540,0.745873,0.794000,0.008646,881.0632
163,0.058378,0.985840,0.705245,0.799600,0.008210,882.2961
164,0.052855,0.987940,0.735012,0.793700,0.007784,882.3016
165,0.050066,0.988740,0.706413,0.803200,0.007368,883.1197
166,0.050797,0.987500,0.711788,0.799700,0.006963,882.9874
167,0.048254,0.989080,0.707833,0.800700,0.006568,878.9359
168,0.046704,0.989120,0.690655,0.808500,0.006185,878.9933
169,0.044087,0.990080,0.695022,0.802100,0.005812,882.3912
170,0.041379,0.991060,0.682279,0.809200,0.005450,882.5158
170,0.041379,0.991060,0.682279,0.809200,0.005450,851.2755
171,0.042413,0.990120,0.701559,0.804900,0.005099,852.7131
172,0.038317,0.991800,0.706679,0.803500,0.004759,853.6422
173,0.037693,0.991620,0.693450,0.808300,0.004430,851.3877
174,0.034870,0.993020,0.690084,0.809400,0.004112,853.1116
175,0.035209,0.992280,0.665021,0.814400,0.003806,852.4654
176,0.032924,0.993060,0.671047,0.812200,0.003511,852.7133
177,0.030270,0.993700,0.673591,0.811800,0.003228,851.8804
178,0.030189,0.994040,0.679590,0.810400,0.002956,852.3784
179,0.029656,0.993880,0.679381,0.812200,0.002696,852.7892
180,0.026952,0.994860,0.674010,0.812200,0.002447,852.0120
181,0.027570,0.994620,0.658791,0.816700,0.002210,853.4104
182,0.025904,0.995000,0.664279,0.814800,0.001985,851.9414
183,0.024998,0.995280,0.656025,0.816500,0.001772,852.1353
184,0.023881,0.995580,0.658033,0.817500,0.001571,855.0595
185,0.023766,0.995560,0.648434,0.818800,0.001382,853.7008
186,0.023995,0.995500,0.651999,0.816500,0.001204,854.4909
187,0.023494,0.995380,0.649727,0.820200,0.001039,855.0367
188,0.022948,0.995720,0.648090,0.820200,0.000886,854.8406
189,0.022517,0.996040,0.650080,0.819100,0.000745,853.1638
190,0.021362,0.996300,0.651517,0.820100,0.000616,839.7134
191,0.020491,0.996360,0.651276,0.821000,0.000499,849.4114
192,0.019818,0.996900,0.646015,0.820300,0.000394,849.0441
193,0.022363,0.995720,0.645968,0.820600,0.000302,848.9332
194,0.020167,0.996400,0.646706,0.820600,0.000222,849.3629
195,0.019785,0.996760,0.642665,0.820600,0.000154,849.2346
196,0.019790,0.996800,0.642507,0.822500,0.000099,849.1851
197,0.020249,0.996660,0.643491,0.821300,0.000056,849.6306
198,0.020707,0.996340,0.643204,0.822500,0.000025,849.7965
199,0.020685,0.996600,0.642886,0.821200,0.000006,848.6486
