Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
135,0.062684,0.973000,0.165306,0.932900,0.023875,466.5043
136,0.060821,0.974260,0.156854,0.936400,0.023209,466.4711
137,0.061434,0.973420,0.152188,0.936800,0.022549,466.1556
138,0.055375,0.976500,0.154526,0.937200,0.021896,467.5310
139,0.055980,0.976420,0.160031,0.936900,0.021250,466.1772
140,0.056598,0.975800,0.152568,0.936900,0.020611,466.3798
141,0.051598,0.977880,0.164678,0.933800,0.019979,466.2133
142,0.051128,0.977640,0.134635,0.946200,0.019355,466.2817
143,0.049618,0.979100,0.119865,0.948700,0.018738,466.6550
144,0.050050,0.978400,0.128131,0.946200,0.018129,465.7837
145,0.048041,0.979680,0.148490,0.940800,0.017528,466.1548
146,0.044823,0.981280,0.130342,0.948800,0.016934,465.8993
147,0.043774,0.981500,0.149477,0.940000,0.016349,466.3348
148,0.046190,0.980000,0.123193,0.950700,0.015773,465.7910
149,0.044588,0.981000,0.128953,0.948700,0.015204,466.0948
150,0.040791,0.982660,0.113886,0.954000,0.014645,466.5726
151,0.039646,0.983260,0.125384,0.949100,0.014094,465.7533
152,0.038759,0.983520,0.113285,0.953700,0.013552,466.5811
153,0.036954,0.984440,0.119206,0.951600,0.013018,466.3127
154,0.032645,0.986080,0.113766,0.954000,0.012494,465.9768
153,0.036954,0.984440,0.119206,0.951600,0.013018,452.9553
154,0.032645,0.986080,0.113766,0.954000,0.012494,464.2353
155,0.036073,0.984060,0.119716,0.952300,0.011980,463.5381
156,0.035053,0.984840,0.116437,0.954100,0.011474,465.9964
157,0.030609,0.987160,0.106754,0.957900,0.010978,464.8594
158,0.027468,0.988960,0.119246,0.953700,0.010492,464.4395
159,0.029448,0.987720,0.109232,0.955600,0.010016,463.9465
160,0.027059,0.988740,0.105150,0.958400,0.009549,465.2784
161,0.026716,0.989040,0.112776,0.954600,0.009093,463.6801
162,0.025376,0.989540,0.112822,0.956000,0.008646,466.0062
163,0.025036,0.989280,0.114745,0.957200,0.008210,465.3511
164,0.023976,0.990160,0.098746,0.959800,0.007784,463.8063
165,0.022716,0.990200,0.096906,0.961000,0.007368,464.4026
166,0.021772,0.991060,0.102429,0.959900,0.006963,465.8800
167,0.022159,0.990800,0.100145,0.961500,0.006568,465.0936
168,0.021356,0.991040,0.099230,0.961300,0.006185,466.5106
169,0.019089,0.992200,0.097501,0.961100,0.005812,465.0292
170,0.019821,0.991880,0.099942,0.960500,0.005450,465.4022
171,0.018233,0.992580,0.095682,0.962900,0.005099,465.0186
172,0.016590,0.993260,0.096792,0.961700,0.004759,463.9432
173,0.016645,0.993460,0.095806,0.962200,0.004430,463.8737
174,0.015841,0.993400,0.091392,0.964400,0.004112,464.1409
175,0.014488,0.994080,0.097463,0.961800,0.003806,465.9435
176,0.015160,0.993640,0.096478,0.962500,0.003511,462.8166
177,0.014206,0.993840,0.090726,0.964500,0.003228,464.1144
178,0.013274,0.994440,0.088720,0.965000,0.002956,465.5437
179,0.013930,0.994300,0.090431,0.966000,0.002696,466.2366
180,0.012220,0.994940,0.089585,0.966400,0.002447,465.3093
181,0.012491,0.994940,0.086185,0.967600,0.002210,465.9028
182,0.012400,0.994760,0.082561,0.969200,0.001985,465.6462
183,0.010925,0.995600,0.084719,0.967700,0.001772,431.4973
184,0.011135,0.995400,0.083105,0.968200,0.001571,431.0605
185,0.011296,0.995320,0.080976,0.969200,0.001382,430.8824
186,0.011062,0.995580,0.081165,0.968700,0.001204,431.2796
187,0.009534,0.996060,0.082303,0.968000,0.001039,431.0665
188,0.009913,0.995900,0.082822,0.967800,0.000886,431.5233
189,0.009461,0.996000,0.081939,0.967500,0.000745,432.0446
190,0.008709,0.996340,0.081647,0.968700,0.000616,431.8500
191,0.008684,0.996700,0.079905,0.968000,0.000499,431.7921
192,0.008604,0.996320,0.079594,0.969400,0.000394,431.5743
193,0.008450,0.996520,0.079013,0.969900,0.000302,430.6556
194,0.010129,0.996000,0.078369,0.969400,0.000222,431.3924
195,0.009190,0.996120,0.078808,0.970200,0.000154,431.1851
196,0.009639,0.996160,0.079008,0.970000,0.000099,430.8299
197,0.009295,0.996380,0.078634,0.970100,0.000056,431.4611
198,0.008531,0.996520,0.077912,0.969400,0.000025,432.2646
199,0.008289,0.996680,0.077855,0.970200,0.000006,435.0816
